datetime_utc,airline,name,retweet_count,text,tweet_location,airline_sentiment
2015-02-16 23:36:00,Delta,JetBlueNews,0,@JetBlue's new CEO seeks the right balance to please passengers and Wall ... - Greenfield Daily Reporter http://t.co/LM3opxkxch,USA,neutral
2015-02-16 23:43:00,Delta,nesi_1992,0,@JetBlue is REALLY getting on my nerves !! _Ù÷Á_Ù÷Á #nothappy,undecided,negative
2015-02-16 23:48:00,United,CPoutloud,0,@united yes. We waited in line for almost an hour to do so. Some passengers just left not wanting to wait past 1am.,"Washington, DC",negative
2015-02-16 23:52:00,United,brenduch,0,"@united the we got into the gate at IAH on time and have given our seats and closed the flight. If you know people is arriving, have to wait",,negative
2015-02-17 00:00:00,Southwest,VahidESQ,0,"@SouthwestAir its cool that my bags take a bit longer, dont give me baggage blue balls-turn the carousel on, tell me it's coming, then not.","Los Angeles, CA",negative
2015-02-17 00:01:00,United,brenduch,0,"@united and don't hope for me having a nicer flight some other time, try to do things right. You sold me those tickets with that connetion",,negative
2015-02-17 00:05:00,United,CRomerDome,0,@united I like delays less than you because I'm the one on the plane. Connect me with a voucher,"Portland, OR",negative
2015-02-17 01:18:00,United,JustOGG,0,"@united, link to current status of flights/airports? Fly BWI-EWR-MCO this morning yet can't yet tell what any problems are except see snow.",Tweets = My Opinion,negative
2015-02-17 01:30:00,Southwest,mrshossruns,0,@SouthwestAir you guys there? Are we on hour 2 of our phone hold at 3am bc of volume or short staffing?,,negative
2015-02-17 01:32:00,United,feliciastoler,0,@united I tried 2 DM it would not go thru... not sure why,New Jersey,negative
2015-02-17 01:54:00,United,markhlyon,0,"Wanted to get my bag benefit, but instead get $25 pricing on all three tickets. When adding a card, MP Visa is only option. @united","Washington, DC",negative
2015-02-17 02:10:00,United,DBsViewOnThings,0,@united please see a flight attendant for what? Why isn't there enough room for over head bags? I carry on to save time!!!,,negative
2015-02-17 02:23:00,United,ljsbrooks,0,@united still waiting for a reply,,negative
2015-02-17 02:38:00,United,gwaki,0,@united even though technically after I land I will be silver?,,neutral
2015-02-17 03:14:00,US Airways,ashenfaced,0,@USAirways how's us 1797 looking today?,Brighton,neutral
2015-02-17 04:03:00,Southwest,rjp1208,0,@SouthwestAir nice work on the update!,,positive
2015-02-17 04:33:00,United,hannahtorney,0,@united i have items of sentimental value that I'm heartbroken are missing,Omagh/Belfast,negative
2015-02-17 04:35:00,Southwest,followkashyap,0,@SouthwestAir We have been stuck in SJU for several hours and no one is answering here. Really tough to LUV SW. No response is bad.,USA,negative
2015-02-17 04:50:00,Delta,BritishAirNews,0,"@JetBlue CEO weighs profits, flyers - @ChronicleHerald (registration) http://t.co/l2n0egHdgn",UK,neutral
2015-02-17 05:04:00,US Airways,sevnthstar,0,@USAirways @AmericanAir How r u supposed to change flights when u can't get thru to reservations? #OneHourOnHold,often underwater,negative
2015-02-17 05:07:00,Delta,twinkletaters,0,@JetBlue Thanks! Her flight leaves at 2 but she's arriving to the airport early. Wedding is in VT in Sept. Grateful you fly to BTV!! :),"Savannah, GA",positive
2015-02-17 05:26:00,United,MiKasuga,0,"@United is officially the worst, most delayed, and least helpful airline I have ever had the misfortune of flying on","New York, NY",negative
2015-02-17 05:27:00,Southwest,WorkingWify,0,@SouthwestAir won't answer their phones #HorribleService #NeverAgain #frustrated #AnswerThePhone,America,negative
2015-02-17 05:38:00,US Airways,DonnyYardas,0,@USAirways reservations had me on hold for 2 hours only to hang up...smh _Ù÷¥,Somewhere Creating,negative
2015-02-17 05:40:00,Delta,TravellerLukose,0,@JetBlue No worries. Delay was minor and dealt with nicely. It was captain of flight 2324 by the way.,,positive
2015-02-17 06:07:00,Southwest,Tinygami,0,@SouthwestAir Is it a temporary site glitch or are you no longer offering flights from GRR to GEG after Feb? Can't find any online :(,Michigan,neutral
2015-02-17 06:07:00,United,AsianAdidasGirl,0,@united clicked on the link and got this? #confused http://t.co/xMAQcucWZl,Houston,neutral
2015-02-17 06:13:00,Southwest,DubCook,0,"@SouthwestAir Guys, we've got to do something about the inability to check in online for international  flight that has... (1/2)","Downtown Dallas, Texas",neutral
2015-02-17 06:13:00,Southwest,kabell87,0,@SouthwestAir flight was Cancelled Flightled and it won't let me rebook online. Wait time on phone is too long. Please help,,negative
2015-02-17 06:21:00,Delta,JulianBOGJB,0,@JetBlue really caring??,Colombia,neutral
2015-02-17 06:29:00,Southwest,MMKuderka,0,@SouthwestAir allows other passengers 2 harass u after their gate agents mistakeFURIOUS they are doing NOTHING about it &amp; my 6yo was scared,,negative
2015-02-17 06:30:00,Southwest,kabell87,0,@SouthwestAir  this is really unhelpful. Why can't I rebook online? http://t.co/N5O43sVl8i,,negative
2015-02-17 06:41:00,Delta,EBlaikie,0,@JetBlue sitting on the plane in JFK waiting to take off doors are open catering is stocking up we are delayed but they couldn't be nicer,,negative
2015-02-17 06:44:00,Delta,elowthers,0,@JetBlue A flight delay due to pilots oversleeping is apparently an uncontrollable irregularity that is not eligible for delay compensation.,,negative
2015-02-17 06:52:00,US Airways,MarkKersten,0,.@USAirways we have no choice but to pay another $50 to go to the airport in the hopes that we will be treated better by a rep.,"London, UK",negative
2015-02-17 07:07:00,United,scherzva,0,"@united New Apple crÌ¢pe, amazing! Live from UA1207. Really nice crew too.  #AmericanAir has biscuits, UA needs them 2 http://t.co/gZ9GqDT7Jj","ÌÏT: 34.188976,-118.613497",positive
2015-02-17 07:09:00,Southwest,lucasdavidson,0,@SouthwestAir on hold for 2 hours and then you hung up 3 Cancelled Flightled flights. Running out of daycare for our kids who are trapped at home.,,negative
2015-02-17 07:12:00,United,wackydunks,0,.@united call my work and tell them it's your fault I'm Late Flight,"grand rapids, michigan",negative
2015-02-17 07:17:00,Southwest,Raven_TheGreat,0,@SouthwestAir why have you guys jacked up the prices AFTER you said prices were going to be lowered? SMH,"Dallas, TX",negative
2015-02-17 07:40:00,US Airways,CharNewsJunkie,0,@USAirways I have been on hold with your Gold reservations line for OVER 3 HOURS now. Flight Cancelled Flightled. Trying to rebook.,"Charlotte, North Carolina",negative
2015-02-17 07:47:00,United,Jamie_Fisher886,0,@united how much does it cost to check in an additional bag? Traveling from newark to glasgow. Thank you :),Glasgow,neutral
2015-02-17 07:50:00,US Airways,sankeshw,0,"@USAirways we are on the 2pm flight FLL to PHL and then connection to MAN. However, with the delays we might miss it. Can we go earlier?","North West, UK",negative
2015-02-17 07:53:00,Southwest,DaxJeter,0,@SouthwestAir thanks do yall expect to be operational tomorrow out of Nashville?,"Nashville,TN",positive
2015-02-17 07:55:00,Southwest,CBSsoxfan,0,"@SouthwestAir husband on hold 2.5 hrs, got disconnected!New wait 30 min. Can't confirm res due to the fact he booked on line! Nuts!",Rhode Island,negative
2015-02-17 07:55:00,United,rachaeldoyle21,0,"@united Broken entertainment system on my 8 hour NYC flight, terrible cabin crew service and online complaint form won't work #hopeless","Portsmouth, UK",negative
2015-02-17 07:56:00,United,lauralscott,0,@united last night we waited forever at the gate because someone from corporate dispatch FORGOT to call the crew #unfriendlyskies,"ÌÏT: 40.976702,-72.210688",negative
2015-02-17 08:02:00,Southwest,kukalong,0,@SouthwestAir Hoping you answer the phone today?,"Phoenix, AZ",negative
